user_id,name,screen_name,location,description,url,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type,type
1884515737,Mark Harris,MarkHarrisNC9,"Charlotte, North Carolina",NC 9th district candidate for Congress promoting conservative values in government,https://t.co/FjC3ZH5kST,FALSE,6148,480,116,2013-09-19T21:44:36Z,772,NA,NA,FALSE,TRUE,980,en,FALSE,FALSE,FALSE,0056A1,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,FALSE,http://pbs.twimg.com/profile_images/1044633020102311936/j7FqiSRv_normal.jpg,https://pbs.twimg.com/profile_images/1044633020102311936/j7FqiSRv_normal.jpg,https://pbs.twimg.com/profile_banners/1884515737/1537894969,0084B4,FFFFFF,C0DFEC,333333,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,congress
1861019372,Mike Braun,braun4indiana,"Jasper, IN","Mike Braun, a lifelong resident of Jasper, Indiana, is a conservative businessman and Senator-elect from Indiana. #IBackBraun",https://t.co/Ibyjih9OTm,FALSE,17381,30,184,2013-09-13T16:01:50Z,18,NA,NA,TRUE,TRUE,579,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/927519119938686978/G-FNwpJ6_normal.jpg,https://pbs.twimg.com/profile_images/927519119938686978/G-FNwpJ6_normal.jpg,https://pbs.twimg.com/profile_banners/1861019372/1509972756,1DA1F2,C0DEED,DDEEF6,333333,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,congress
1577754348,Mikie Sherrill,MikieSherrill,NA,"Naval Academy graduate, Navy Pilot and former federal prosecutor. Congresswoman-elect for NJ's 11th District #NJ11",https://t.co/28IumdrPJY,FALSE,25088,358,299,2013-07-08T14:13:48Z,551,NA,NA,TRUE,TRUE,1593,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/907359846734934016/tGr2VS19_normal.jpg,https://pbs.twimg.com/profile_images/907359846734934016/tGr2VS19_normal.jpg,https://pbs.twimg.com/profile_banners/1577754348/1505166403,1DA1F2,C0DEED,DDEEF6,333333,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,congress
1542372750,Joe Neguse,JoeNeguse,"Lafayette, CO","Congressman-Elect, Colorado's 2nd District | Father, husband, attorney & first-generation American | Former @CUBoulder Regent & co-founder @neweracolorado",https://t.co/tPI2dB9H1e,FALSE,8411,589,134,2013-06-24T03:30:41Z,1071,NA,NA,TRUE,TRUE,643,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/895117724141015040/3QQbZ8LM_normal.jpg,https://pbs.twimg.com/profile_images/895117724141015040/3QQbZ8LM_normal.jpg,https://pbs.twimg.com/profile_banners/1542372750/1541740443,1DA1F2,C0DEED,DDEEF6,333333,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,congress
1262017122,Abby Finkenauer,Abby4Iowa,"Dubuque, IA",Congresswoman-elect #IA01 former State Rep for IA House District 99. Paid for by Finkenauer For Congress.,https://t.co/E9Q9RBGkg1,FALSE,13517,494,252,2013-03-12T13:51:32Z,1553,NA,NA,TRUE,TRUE,2216,en,FALSE,FALSE,FALSE,26A2E0,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,TRUE,http://pbs.twimg.com/profile_images/850417126745661440/xPDV1BKB_normal.jpg,https://pbs.twimg.com/profile_images/850417126745661440/xPDV1BKB_normal.jpg,https://pbs.twimg.com/profile_banners/1262017122/1493815670,0084B4,FFFFFF,DDEEF6,333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,congress
1257667158,Chip Roy,chiproytx,"Austin, Texas","Husband, father, cancer survivor, Congressman-elect from the Great State of Texas. Freedom works. https://t.co/1JZa4Av6WU",NA,FALSE,7698,659,179,2013-03-10T18:36:29Z,9074,NA,NA,FALSE,TRUE,16970,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/1067414842867367937/mhwAN0Mg_normal.jpg,https://pbs.twimg.com/profile_images/1067414842867367937/mhwAN0Mg_normal.jpg,https://pbs.twimg.com/profile_banners/1257667158/1541636171,1DA1F2,C0DEED,DDEEF6,333333,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,congress
1080844782,Kyrsten Sinema,RepSinema,NA,"Official Twitter feed of U.S. Congresswoman Kyrsten Sinema, serving Arizona's 9th District.",https://t.co/49vmMWoGCZ,FALSE,51441,740,1134,2013-01-11T20:31:03Z,10,NA,NA,TRUE,TRUE,11310,en,FALSE,FALSE,FALSE,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,FALSE,http://pbs.twimg.com/profile_images/1034130772406353921/X0F2Al0E_normal.jpg,https://pbs.twimg.com/profile_images/1034130772406353921/X0F2Al0E_normal.jpg,https://pbs.twimg.com/profile_banners/1080844782/1450970481,009999,000000,EFEFEF,333333,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,congress
915831762,Anthony Brindisi,ABrindisiNY,"Utica, NY",Dad. Husband. Assemblyman. Proven problem solver & independent voice for the working families of Upstate New York. Candidate for Congress in NY’s 22nd District.,https://t.co/IQvp0iIrLv,FALSE,10790,1900,233,2012-10-31T00:54:36Z,5301,NA,NA,TRUE,TRUE,4684,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/918179675133874182/uQ-BuHpv_normal.jpg,https://pbs.twimg.com/profile_images/918179675133874182/uQ-BuHpv_normal.jpg,https://pbs.twimg.com/profile_banners/915831762/1498790283,ABB8C2,FFFFFF,DDEEF6,333333,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,congress
833673914,Michael Waltz,michaelgwaltz,"Florida, USA","Candidate for Congress FL-6; Green Beret; Author, ""Warrior Diplomat""; Fmr FOX News Contributor; Chairman - Metis Solutions; Sr. Fellow at FDD; FL Native; Father",https://t.co/NskWDQkjUy,FALSE,19659,7795,146,2012-09-19T16:23:47Z,1725,NA,NA,TRUE,TRUE,4509,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/955590076838436864/IV_fEXud_normal.jpg,https://pbs.twimg.com/profile_images/955590076838436864/IV_fEXud_normal.jpg,https://pbs.twimg.com/profile_banners/833673914/1516661799,1DA1F2,C0DEED,DDEEF6,333333,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,congress
783792992,Ilhan Omar,IlhanMN,Minneapolis,"Mom, Refugee, Intersectional Feminist, 2017 Top Angler of the Governor's Fishing Opener and Representative-Elect for #MN05",https://t.co/GpQErcEp3y,FALSE,229517,1097,1245,2012-08-27T04:21:41Z,14262,NA,NA,TRUE,TRUE,9830,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/1064665266435559424/wZtYO03x_normal.jpg,https://pbs.twimg.com/profile_images/1064665266435559424/wZtYO03x_normal.jpg,https://pbs.twimg.com/profile_banners/783792992/1534782985,1DA1F2,C0DEED,DDEEF6,333333,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,congress
